,train_tag,et_bin,eta_bin,model_idx,sort,init,file_name,tuned_idx,max_sp_val,max_sp_pd_val,max_sp_fa_val,max_sp_op,max_sp_pd_op,max_sp_fa_op,tight_pd_ref,tight_fa_ref,tight_sp_ref,tight_pd_val,tight_fa_val,tight_sp_val,tight_pd_op,tight_fa_op,tight_sp_op,tight_pd_ref_passed,tight_fa_ref_passed,tight_pd_ref_total,tight_fa_ref_total,tight_pd_val_passed,tight_fa_val_passed,tight_pd_val_total,tight_fa_val_total,tight_pd_op_passed,tight_fa_op_passed,tight_pd_op_total,tight_fa_op_total,tight_op_threshold,medium_pd_ref,medium_fa_ref,medium_sp_ref,medium_pd_val,medium_fa_val,medium_sp_val,medium_pd_op,medium_fa_op,medium_sp_op,medium_pd_ref_passed,medium_fa_ref_passed,medium_pd_ref_total,medium_fa_ref_total,medium_pd_val_passed,medium_fa_val_passed,medium_pd_val_total,medium_fa_val_total,medium_pd_op_passed,medium_fa_op_passed,medium_pd_op_total,medium_fa_op_total,medium_op_threshold,loose_pd_ref,loose_fa_ref,loose_sp_ref,loose_pd_val,loose_fa_val,loose_sp_val,loose_pd_op,loose_fa_op,loose_sp_op,loose_pd_ref_passed,loose_fa_ref_passed,loose_pd_ref_total,loose_fa_ref_total,loose_pd_val_passed,loose_fa_val_passed,loose_pd_val_total,loose_fa_val_total,loose_pd_op_passed,loose_fa_op_passed,loose_pd_op_total,loose_fa_op_total,loose_op_threshold,vloose_pd_ref,vloose_fa_ref,vloose_sp_ref,vloose_pd_val,vloose_fa_val,vloose_sp_val,vloose_pd_op,vloose_fa_op,vloose_sp_op,vloose_pd_ref_passed,vloose_fa_ref_passed,vloose_pd_ref_total,vloose_fa_ref_total,vloose_pd_val_passed,vloose_fa_val_passed,vloose_pd_val_total,vloose_fa_val_total,vloose_pd_op_passed,vloose_fa_op_passed,vloose_pd_op_total,vloose_fa_op_total,vloose_op_threshold
0,v1_data17_fwd,0,4,0,0,0,/home/mschefer/outputs/data17_13TeV.AllPeriods.sgn.probes_lhmedium_EGAM1.bkg.VProbes_EGAM7.GRL_v97_et0_eta4.v1/tunedDiscr.jobID_0000.pic.gz,0,0.8849722900558584,0.9,0.129928894634777,0.892818744730954,0.9104710199567687,0.12466072120977123,0.9303775197305585,0.48041876696393954,0.7099716256017325,0.9301507537688443,0.18099547511312217,0.8736934816046164,0.9303775197305585,0.14992891301538064,0.8897711837715487,18508.0,7434.0,19893,15474,1851,280,1990,1547,18508,2320,19893,15474,-0.05605887249112129,0.930628864424672,0.4932144241954246,0.7025483123801989,0.9306532663316583,0.18164188752424046,0.8736030550461268,0.930628864424672,0.15038128473568566,0.8896626358390245,18513.0,7632.0,19893,15474,1852,281,1990,1547,18513,2327,19893,15474,-0.05895160138607025,0.9354044136128287,0.6346128990564819,0.6166333456964479,0.9351758793969849,0.19198448610213317,0.870433881788203,0.9353038757351833,0.15807160398087114,0.888002258580816,18608.0,9820.0,19893,15474,1861,297,1990,1547,18606,2446,19893,15474,-0.10828570276498795,0.9359071030010556,0.6731291198138813,0.5909500132966145,0.936180904522613,0.19327731092436976,0.8702473257407465,0.9359071030010556,0.15904097195295333,0.8877981832738313,18618.0,10416.0,19893,15474,1863,299,1990,1547,18618,2461,19893,15474,-0.11487281322479248
10,v1_data17_fwd,0,4,0,1,0,/home/mschefer/outputs/data17_13TeV.AllPeriods.sgn.probes_lhmedium_EGAM1.bkg.VProbes_EGAM7.GRL_v97_et0_eta4.v1/tunedDiscr.jobID_0010.pic.gz,0,0.9043911493072534,0.9201005025125628,0.11118293471234647,0.8926917971425801,0.9042376715427537,0.11877988884580587,0.9303775197305585,0.48041876696393954,0.7099716256017325,0.9306532663316583,0.129928894634777,0.9001073052897314,0.9303775197305585,0.15232002067985007,0.8885475756975295,18508.0,7434.0,19893,15474,1852,201,1990,1547,18508,2357,19893,15474,-0.07645181566476822,0.930628864424672,0.4932144241954246,0.7025483123801989,0.9306532663316583,0.129928894634777,0.9001073052897314,0.9305785954858493,0.15244926974279435,0.8885796538608379,18513.0,7632.0,19893,15474,1852,201,1990,1547,18512,2359,19893,15474,-0.07755355536937714,0.9354044136128287,0.6346128990564819,0.6166333456964479,0.9351758793969849,0.1396250808015514,0.8973856283211907,0.9354546825516513,0.16001033992503555,0.8870798343611013,18608.0,9820.0,19893,15474,1861,216,1990,1547,18609,2476,19893,15474,-0.12476883083581924,0.9359071030010556,0.6731291198138813,0.5909500132966145,0.936180904522613,0.14091790562378798,0.8972173301792378,0.9359071030010556,0.1609150833656456,0.8868350903590556,18618.0,10416.0,19893,15474,1863,218,1990,1547,18618,2490,19893,15474,-0.1292983591556549
22,v1_data17_fwd,0,4,0,2,2,/home/mschefer/outputs/data17_13TeV.AllPeriods.sgn.probes_lhmedium_EGAM1.bkg.VProbes_EGAM7.GRL_v97_et0_eta4.v1/tunedDiscr.jobID_0022.pic.gz,0,0.9027989853251309,0.9155778894472362,0.10989010989010989,0.8925665613260613,0.9007188458251646,0.11554866227219852,0.9303775197305585,0.48041876696393954,0.7099716256017325,0.9301507537688443,0.14027149321266968,0.894593086347723,0.9303272507917358,0.15147990177071216,0.8889530239072841,18508.0,7434.0,19893,15474,1851,217,1990,1547,18507,2344,19893,15474,-0.06777231395244598,0.930628864424672,0.4932144241954246,0.7025483123801989,0.9306532663316583,0.14156431803490627,0.8941798633492134,0.930628864424672,0.15173839989660076,0.8889681211339204,18513.0,7632.0,19893,15474,1852,219,1990,1547,18513,2348,19893,15474,-0.07111289352178574,0.9354044136128287,0.6346128990564819,0.6166333456964479,0.9351758793969849,0.15061409179056237,0.8917649193595346,0.9354044136128287,0.16013958898797984,0.8869889457231969,18608.0,9820.0,19893,15474,1861,233,1990,1547,18608,2478,19893,15474,-0.12125959247350693,0.9359071030010556,0.6731291198138813,0.5909500132966145,0.9351758793969849,0.15061409179056237,0.8917649193595346,0.935856834062233,0.1609150833656456,0.8868106240207213,18618.0,10416.0,19893,15474,1861,233,1990,1547,18617,2490,19893,15474,-0.1271461546421051
37,v1_data17_fwd,0,4,0,3,7,/home/mschefer/outputs/data17_13TeV.AllPeriods.sgn.probes_lhmedium_EGAM1.bkg.VProbes_EGAM7.GRL_v97_et0_eta4.v1/tunedDiscr.jobID_0037.pic.gz,0,0.8981473564663645,0.9245852187028658,0.12790697674418605,0.8921069550077693,0.9066003116674207,0.1222696135453018,0.9303775197305585,0.48041876696393954,0.7099716256017325,0.930115635997989,0.14018087855297157,0.894622082566605,0.9303775197305585,0.15328938865193228,0.8880512665539108,18508.0,7434.0,19893,15474,1850,216,1989,1548,18508,2372,19893,15474,-0.08690604567527771,0.930628864424672,0.4932144241954246,0.7025483123801989,0.9311211664152841,0.14147286821705427,0.8944558400986304,0.930628864424672,0.15361251130929302,0.8880085611559493,18513.0,7632.0,19893,15474,1852,219,1989,1548,18513,2377,19893,15474,-0.0891205221414566,0.9354044136128287,0.6346128990564819,0.6166333456964479,0.9366515837104072,0.15180878552971577,0.8918728595024583,0.9354044136128287,0.16026883805092412,0.8869225301068984,18608.0,9820.0,19893,15474,1863,235,1989,1548,18608,2480,19893,15474,-0.13571949303150177,0.9359071030010556,0.6731291198138813,0.5909500132966145,0.9366515837104072,0.15180878552971577,0.8918728595024583,0.9359071030010556,0.16149670414889492,0.8865360869332306,18618.0,10416.0,19893,15474,1863,235,1989,1548,18618,2499,19893,15474,-0.1410376876592636
45,v1_data17_fwd,0,4,0,4,5,/home/mschefer/outputs/data17_13TeV.AllPeriods.sgn.probes_lhmedium_EGAM1.bkg.VProbes_EGAM7.GRL_v97_et0_eta4.v1/tunedDiscr.jobID_0045.pic.gz,0,0.8891402537251456,0.8893916540975364,0.1111111111111111,0.893234361937745,0.9086110692203287,0.12201111541941322,0.9303775197305585,0.48041876696393954,0.7099716256017325,0.9306184012066365,0.16602067183462532,0.8816365584415933,0.9303775197305585,0.1486364223859377,0.8904322265321728,18508.0,7434.0,19893,15474,1851,257,1989,1548,18508,2300,19893,15474,-0.06006873399019241,0.930628864424672,0.4932144241954246,0.7025483123801989,0.9306184012066365,0.16602067183462532,0.8816365584415933,0.9305785954858493,0.148765671448882,0.8904644824367016,18513.0,7632.0,19893,15474,1851,257,1989,1548,18512,2302,19893,15474,-0.060940228402614594,0.9354044136128287,0.6346128990564819,0.6166333456964479,0.9356460532931121,0.17377260981912146,0.880086078992271,0.9354044136128287,0.15639136616259533,0.8889138572225636,18608.0,9820.0,19893,15474,1861,269,1989,1548,18608,2420,19893,15474,-0.1116550862789154,0.9359071030010556,0.6731291198138813,0.5909500132966145,0.9356460532931121,0.17377260981912146,0.880086078992271,0.9359071030010556,0.1567791133514282,0.8889598019306927,18618.0,10416.0,19893,15474,1861,269,1989,1548,18618,2426,19893,15474,-0.11584354937076569
52,v1_data17_fwd,0,4,0,5,2,/home/mschefer/outputs/data17_13TeV.AllPeriods.sgn.probes_lhmedium_EGAM1.bkg.VProbes_EGAM7.GRL_v97_et0_eta4.v1/tunedDiscr.jobID_0052.pic.gz,0,0.8820461839551127,0.8914027149321267,0.12726098191214472,0.8944530517961854,0.912783391142613,0.12369135323768903,0.9303775197305585,0.48041876696393954,0.7099716256017325,0.9306184012066365,0.187984496124031,0.8703061874745796,0.9303775197305585,0.14676231097324544,0.8913902825869774,18508.0,7434.0,19893,15474,1851,291,1989,1548,18508,2271,19893,15474,-0.058147918432950974,0.930628864424672,0.4932144241954246,0.7025483123801989,0.9306184012066365,0.187984496124031,0.8703061874745796,0.9306791333634947,0.14702080909913404,0.8914057639117764,18513.0,7632.0,19893,15474,1851,291,1989,1548,18514,2275,19893,15474,-0.06074848026037216,0.9354044136128287,0.6346128990564819,0.6166333456964479,0.9351432880844646,0.19509043927648578,0.8688054435763402,0.9354044136128287,0.1549696264702081,0.889643420681443,18608.0,9820.0,19893,15474,1860,302,1989,1548,18608,2398,19893,15474,-0.10766060650348663,0.9359071030010556,0.6731291198138813,0.5909500132966145,0.9361488185017597,0.19832041343669252,0.8676106564595804,0.9359071030010556,0.15555124725345743,0.889590059422048,18618.0,10416.0,19893,15474,1862,307,1989,1548,18618,2407,19893,15474,-0.11235300451517105
65,v1_data17_fwd,0,4,0,6,5,/home/mschefer/outputs/data17_13TeV.AllPeriods.sgn.probes_lhmedium_EGAM1.bkg.VProbes_EGAM7.GRL_v97_et0_eta4.v1/tunedDiscr.jobID_0065.pic.gz,0,0.9030632699993522,0.9160382101558572,0.10981912144702842,0.8922725388942592,0.9024782586839591,0.11787514540519581,0.9303775197305585,0.48041876696393954,0.7099716256017325,0.9306184012066365,0.13372093023255813,0.8981606318737475,0.9303775197305585,0.1516737753651286,0.8888783676646616,18508.0,7434.0,19893,15474,1851,206,1989,1548,18508,2347,19893,15474,-0.07422427088022232,0.930628864424672,0.4932144241954246,0.7025483123801989,0.9306184012066365,0.13372093023255813,0.8981606318737475,0.930628864424672,0.1520615225539615,0.8888027185487798,18513.0,7632.0,19893,15474,1851,206,1989,1548,18513,2353,19893,15474,-0.07667926698923111,0.9354044136128287,0.6346128990564819,0.6166333456964479,0.9356460532931121,0.14534883720930233,0.8946902195277044,0.9354044136128287,0.15975184179914695,0.887188176796707,18608.0,9820.0,19893,15474,1861,225,1989,1548,18608,2472,19893,15474,-0.1281176507472992,0.9359071030010556,0.6731291198138813,0.5909500132966145,0.9361488185017597,0.14728682170542637,0.8939441530989165,0.935856834062233,0.16059196070828485,0.8869767116864729,18618.0,10416.0,19893,15474,1862,228,1989,1548,18617,2485,19893,15474,-0.13245685398578644
74,v1_data17_fwd,0,4,0,7,4,/home/mschefer/outputs/data17_13TeV.AllPeriods.sgn.probes_lhmedium_EGAM1.bkg.VProbes_EGAM7.GRL_v97_et0_eta4.v1/tunedDiscr.jobID_0074.pic.gz,0,0.8976397417988681,0.9150326797385621,0.1195862960568843,0.8887750102009032,0.9049414366862716,0.1272457024686571,0.9303775197305585,0.48041876696393954,0.7099716256017325,0.930115635997989,0.1493212669683258,0.8899539177522575,0.9303272507917358,0.16350006462453148,0.8827900961479409,18508.0,7434.0,19893,15474,1850,231,1989,1547,18507,2530,19893,15474,-0.07181119173765182,0.930628864424672,0.4932144241954246,0.7025483123801989,0.9311211664152841,0.14996767937944408,0.8901149277787391,0.930628864424672,0.16375856275042006,0.8828041950464791,18513.0,7632.0,19893,15474,1852,232,1989,1547,18513,2534,19893,15474,-0.07367581129074097,0.9354044136128287,0.6346128990564819,0.6166333456964479,0.9356460532931121,0.1577246283128636,0.8883471367642665,0.9355552204292967,0.17203050277885484,0.8809407884545944,18608.0,9820.0,19893,15474,1861,244,1989,1547,18611,2662,19893,15474,-0.10813838243484497,0.9359071030010556,0.6731291198138813,0.5909500132966145,0.9356460532931121,0.1577246283128636,0.8883471367642665,0.9359071030010556,0.17299987075093706,0.8806114177219494,18618.0,10416.0,19893,15474,1861,244,1989,1547,18618,2677,19893,15474,-0.11100516468286514
89,v1_data17_fwd,0,4,0,8,9,/home/mschefer/outputs/data17_13TeV.AllPeriods.sgn.probes_lhmedium_EGAM1.bkg.VProbes_EGAM7.GRL_v97_et0_eta4.v1/tunedDiscr.jobID_0089.pic.gz,0,0.8961408837041126,0.8989441930618401,0.10665804783451842,0.8904822657034863,0.8950384557381994,0.11406229804833914,0.9303775197305585,0.48041876696393954,0.7099716256017325,0.9306184012066365,0.15126050420168066,0.8892076067622859,0.9303272507917358,0.1554219981905131,0.8869343325591502,18508.0,7434.0,19893,15474,1851,233,1989,1547,18507,2405,19893,15474,-0.034198202192783356,0.930628864424672,0.4932144241954246,0.7025483123801989,0.9306184012066365,0.15126050420168066,0.8892076067622859,0.9306791333634947,0.15600361897376244,0.8868080384336641,18513.0,7632.0,19893,15474,1851,233,1989,1547,18514,2414,19893,15474,-0.03780222684144974,0.9354044136128287,0.6346128990564819,0.6166333456964479,0.9351432880844646,0.15513897866839044,0.8894292092760042,0.9354044136128287,0.16259532118392142,0.885726598631987,18608.0,9820.0,19893,15474,1860,240,1989,1547,18608,2516,19893,15474,-0.08023521304130554,0.9359071030010556,0.6731291198138813,0.5909500132966145,0.9361488185017597,0.15578539107950873,0.8895877083516499,0.9359071030010556,0.16278919477833786,0.8858714436119872,18618.0,10416.0,19893,15474,1862,241,1989,1547,18618,2519,19893,15474,-0.08400112390518188
90,v1_data17_fwd,0,4,0,9,0,/home/mschefer/outputs/data17_13TeV.AllPeriods.sgn.probes_lhmedium_EGAM1.bkg.VProbes_EGAM7.GRL_v97_et0_eta4.v1/tunedDiscr.jobID_0090.pic.gz,0,0.8983582238541034,0.8853695324283559,0.08855850032320621,0.8873593901273209,0.891569898959433,0.11684115290164146,0.9303775197305585,0.48041876696393954,0.7099716256017325,0.9306184012066365,0.15449256625727215,0.8875526690783472,0.9304780576082039,0.16556804963164018,0.8818009255048592,18508.0,7434.0,19893,15474,1851,239,1989,1547,18510,2562,19893,15474,-0.08080578595399857,0.930628864424672,0.4932144241954246,0.7025483123801989,0.9306184012066365,0.15449256625727215,0.8875526690783472,0.930628864424672,0.16576192322605662,0.8817746677277812,18513.0,7632.0,19893,15474,1851,239,1989,1547,18513,2565,19893,15474,-0.08218017220497131,0.9354044136128287,0.6346128990564819,0.6166333456964479,0.9356460532931121,0.16483516483516483,0.8846918806824248,0.9354546825516513,0.17287062168799275,0.8804586638643591,18608.0,9820.0,19893,15474,1861,255,1989,1547,18609,2675,19893,15474,-0.11644173413515091,0.9359071030010556,0.6731291198138813,0.5909500132966145,0.9356460532931121,0.16483516483516483,0.8846918806824248,0.9359071030010556,0.17429236138037998,0.8799443995219853,18618.0,10416.0,19893,15474,1861,255,1989,1547,18618,2697,19893,15474,-0.1212218776345253
102,v1_data17_fwd,0,4,1,0,2,/home/mschefer/outputs/data17_13TeV.AllPeriods.sgn.probes_lhmedium_EGAM1.bkg.VProbes_EGAM7.GRL_v97_et0_eta4.v1/tunedDiscr.jobID_0102.pic.gz,0,0.8961328545637309,0.8969849246231156,0.10471881060116355,0.903115071184072,0.9121298949379179,0.1058549825513765,0.9303775197305585,0.48041876696393954,0.7099716256017325,0.9311557788944723,0.16354234001292825,0.8831718661248977,0.9303775197305585,0.12763344965749,0.9011386006157434,18508.0,7434.0,19893,15474,1853,253,1990,1547,18508,1975,19893,15474,-0.010446703061461449,0.930628864424672,0.4932144241954246,0.7025483123801989,0.9311557788944723,0.16354234001292825,0.8831718661248977,0.930628864424672,0.128085821377795,0.9010323603246776,18513.0,7632.0,19893,15474,1853,253,1990,1547,18513,1982,19893,15474,-0.012484734877943993,0.9354044136128287,0.6346128990564819,0.6166333456964479,0.935678391959799,0.17582417582417584,0.8790426894435539,0.9354044136128287,0.13758562750420059,0.8985387465290953,18608.0,9820.0,19893,15474,1862,272,1990,1547,18608,2129,19893,15474,-0.07620998471975327,0.9359071030010556,0.6731291198138813,0.5909500132966145,0.935678391959799,0.17582417582417584,0.8790426894435539,0.9359071030010556,0.13894274266511566,0.8980922066403618,18618.0,10416.0,19893,15474,1862,272,1990,1547,18618,2150,19893,15474,-0.0850386768579483
119,v1_data17_fwd,0,4,1,1,9,/home/mschefer/outputs/data17_13TeV.AllPeriods.sgn.probes_lhmedium_EGAM1.bkg.VProbes_EGAM7.GRL_v97_et0_eta4.v1/tunedDiscr.jobID_0119.pic.gz,0,0.9097845437586638,0.9316582914572864,0.11182934712346478,0.8991668068498819,0.9052430503192077,0.10688897505493085,0.9303775197305585,0.48041876696393954,0.7099716256017325,0.9296482412060302,0.11053652230122818,0.9094448773459988,0.9303272507917358,0.13713325578389557,0.896279593386009,18508.0,7434.0,19893,15474,1850,171,1990,1547,18507,2122,19893,15474,-0.0670718252658844,0.930628864424672,0.4932144241954246,0.7025483123801989,0.9296482412060302,0.11053652230122818,0.9094448773459988,0.9306791333634947,0.13752100297272846,0.8962546526580811,18513.0,7632.0,19893,15474,1850,171,1990,1547,18514,2128,19893,15474,-0.06894656270742416,0.9354044136128287,0.6346128990564819,0.6166333456964479,0.9351758793969849,0.12217194570135746,0.9062751328304898,0.9355552204292967,0.1457283184696911,0.8944516654134055,18608.0,9820.0,19893,15474,1861,189,1990,1547,18611,2255,19893,15474,-0.12351268529891968,0.9359071030010556,0.6731291198138813,0.5909500132966145,0.936180904522613,0.12540400775694893,0.9051265202249268,0.9359573719398784,0.14605144112705182,0.894482916523456,18618.0,10416.0,19893,15474,1863,194,1990,1547,18619,2260,19893,15474,-0.12546786665916443
124,v1_data17_fwd,0,4,1,2,4,/home/mschefer/outputs/data17_13TeV.AllPeriods.sgn.probes_lhmedium_EGAM1.bkg.VProbes_EGAM7.GRL_v97_et0_eta4.v1/tunedDiscr.jobID_0124.pic.gz,0,0.9070101606032829,0.9090452261306533,0.09502262443438914,0.8998157068375038,0.9087618760367968,0.10908620912498385,0.9303775197305585,0.48041876696393954,0.7099716256017325,0.9301507537688443,0.12605042016806722,0.9018312403639146,0.9303775197305585,0.13616388781181338,0.8967981818288502,18508.0,7434.0,19893,15474,1851,195,1990,1547,18508,2107,19893,15474,-0.061090901494026184,0.930628864424672,0.4932144241954246,0.7025483123801989,0.9306532663316583,0.1279896574014221,0.9010932437239889,0.9305785954858493,0.13629313687475766,0.8968310342154951,18513.0,7632.0,19893,15474,1852,197,1990,1547,18512,2109,19893,15474,-0.06336977332830429,0.9354044136128287,0.6346128990564819,0.6166333456964479,0.9351758793969849,0.13445378151260504,0.9000243083043816,0.9354044136128287,0.14424195424583172,0.8951382036435983,18608.0,9820.0,19893,15474,1861,208,1990,1547,18608,2232,19893,15474,-0.11483965069055557,0.9359071030010556,0.6731291198138813,0.5909500132966145,0.936180904522613,0.13703943115707823,0.8991980206728661,0.935856834062233,0.14527594674938607,0.8948305648151388,18618.0,10416.0,19893,15474,1863,212,1990,1547,18617,2248,19893,15474,-0.11988280713558197
